,International students by country of citizenship and sub-sector 2013-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country of citizenship ,Universities,,,,,,,,,,Te P?kenga,,,,,,,,,,W?nanga,,,,,,,,,,Public providers,,,,,,,,,,Private training establishments,,,,,,,,,,Total,,,,,,,,,,,
,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,
,"China, People's Republic of","8,670","9,965","10,795","11,815","12,895","14,135","15,625","14,550","14,710","14,445","4,660","5,310","5,710","5,665","5,790","5,235","4,610","2,665","2,225","1,900",0,0,0,0,0,0,0,5,5,0,"13,195","15,135","16,350","17,335","18,530","19,225","20,100","17,135","16,895","16,315","3,010","3,425","3,905","4,310","3,950","3,285","2,640","1,805","1,340","1,120","15,910","18,280","19,965","21,365","22,200","22,235","22,495","18,740","18,145","17,370",,
,India,"1,230","1,240","1,410","1,685","1,995","2,350","3,210","3,250","1,645","1,135","2,900","4,025","6,735","7,530","7,355","7,075","7,415","6,210","2,375","1,280",0,0,0,0,0,0,5,0,5,0,"4,130","5,265","8,140","9,210","9,335","9,415","10,615","9,450","4,020","2,410","3,655","6,075","8,275","7,110","4,560","3,615","3,030","2,810","2,410","1,440","7,750","11,265","16,335","16,250","13,815","12,965","13,630","12,210","6,410","3,840",,
,Viet Nam,990,920,845,845,910,980,"1,065","1,025","1,015","1,045",185,195,205,200,215,205,205,165,135,95,0,0,0,0,0,0,0,0,0,0,"1,170","1,110","1,050","1,040","1,125","1,190","1,270","1,190","1,150","1,145",250,245,285,340,445,515,430,300,195,170,"1,400","1,345","1,330","1,370","1,565","1,690","1,695","1,485","1,340","1,310",,
,Malaysia,"1,710","1,440","1,410","1,535","1,585","1,685","1,510","1,185",940,875,120,120,115,125,135,140,105,75,70,45,0,0,0,0,5,0,0,0,5,0,"1,830","1,560","1,525","1,655","1,720","1,825","1,620","1,260","1,010",920,55,65,85,115,100,115,95,70,40,40,"1,885","1,620","1,600","1,765","1,815","1,930","1,710","1,330","1,050",960,,
,"Korea, Republic of (South)",870,760,630,560,540,535,545,565,555,550,420,300,280,220,290,325,325,305,205,155,0,0,0,0,0,0,0,0,5,0,"1,290","1,060",910,780,830,855,865,865,760,700,790,875,785,790,755,625,570,390,205,135,"2,070","1,925","1,680","1,570","1,575","1,475","1,430","1,245",955,830,,
,Philippines,90,100,105,140,190,200,225,225,185,215,470,545,870,"1,085",950,840,840,515,370,305,0,0,5,0,0,0,0,0,5,0,560,645,980,"1,225","1,140","1,040","1,065",735,560,520,405,615,"1,030",865,760,725,520,300,155,255,965,"1,255","2,010","2,085","1,895","1,755","1,585","1,035",710,775,,
,United States of America,"2,235","2,180","2,415","2,515","2,735","2,685","2,650","1,775",625,655,60,55,95,90,65,80,60,60,60,40,10,5,5,10,20,20,20,15,20,10,"2,305","2,240","2,515","2,615","2,820","2,785","2,725","1,850",705,700,75,70,55,60,45,40,40,35,30,15,"2,385","2,310","2,575","2,675","2,860","2,825","2,765","1,885",735,720,,
,Indonesia,335,395,420,470,530,535,560,555,480,460,60,65,105,125,140,140,155,110,100,80,0,0,0,0,0,0,0,0,0,0,395,460,525,595,670,675,715,665,580,540,130,145,140,200,180,185,185,135,100,80,525,600,665,795,845,855,895,800,675,620,,
,Sri Lanka,180,195,190,210,255,300,395,435,395,350,190,180,235,340,435,480,470,405,220,150,0,0,0,0,0,0,0,0,5,0,375,375,420,545,690,780,860,840,615,500,310,300,345,300,250,180,135,95,115,90,675,670,770,845,945,950,990,935,725,590,,
,Japan,525,490,455,505,525,465,415,315,285,285,365,325,240,155,150,165,120,85,55,45,0,0,0,0,0,0,0,5,5,0,890,815,695,660,675,630,535,400,345,335,755,780,675,525,545,580,510,325,135,140,"1,635","1,585","1,370","1,180","1,220","1,205","1,045",720,480,470,,
,Thailand,320,335,315,310,315,320,330,325,330,305,100,170,100,100,70,70,95,65,45,45,0,0,0,0,0,0,0,0,0,0,415,505,415,410,380,390,425,390,375,350,280,255,220,185,205,265,165,90,60,55,690,735,635,580,585,655,585,480,430,410,,
,Iran,325,370,390,415,415,450,430,410,365,340,20,20,15,15,15,25,20,15,20,25,0,0,0,0,0,0,0,0,0,0,340,385,405,430,430,475,450,420,380,365,10,5,5,5,5,5,5,5,5,5,350,395,410,430,435,480,450,420,385,365,,
,Singapore,395,380,385,345,390,400,415,390,340,325,20,20,30,30,25,25,25,15,15,15,0,0,0,0,0,0,0,0,5,0,415,400,415,380,415,425,440,405,360,335,15,20,20,25,35,35,55,50,10,15,430,420,435,405,450,460,495,450,370,350,,
,Fiji,110,105,110,130,150,155,180,175,145,130,245,225,220,185,200,155,155,140,145,100,0,0,0,0,5,5,5,5,5,5,350,335,330,315,355,315,335,315,290,235,260,285,245,160,115,155,170,150,110,85,605,615,575,470,470,465,500,455,400,325,,
,United Kingdom,485,430,460,470,465,465,465,435,265,220,210,185,175,180,135,130,115,105,100,70,0,0,0,0,0,0,0,5,55,0,690,615,635,650,600,595,580,535,415,285,95,175,320,295,320,380,355,205,30,20,790,790,960,950,920,980,935,740,445,300,,
,Taiwan,270,255,250,230,220,230,245,240,225,220,50,60,65,60,60,60,50,45,25,25,0,0,0,0,0,0,0,0,0,0,320,315,310,285,280,295,295,280,250,240,60,75,60,70,55,55,55,40,40,30,380,385,365,350,330,345,345,320,285,270,,
,Canada,330,315,285,305,330,345,345,340,165,205,40,40,30,30,25,30,30,25,15,10,0,0,0,0,0,0,0,0,5,0,375,355,315,335,355,375,370,365,185,215,100,85,80,85,80,50,65,70,60,40,470,440,395,420,435,425,435,435,245,255,,
,Nepal,60,75,85,105,100,110,115,105,80,55,115,225,315,325,370,470,555,485,210,70,0,0,0,0,0,0,0,0,5,0,175,295,400,430,470,580,665,595,290,130,85,200,245,200,160,250,315,320,240,105,260,495,645,630,625,825,980,910,530,230,,
,South Africa,55,20,30,45,55,80,100,140,125,95,50,50,65,80,105,120,130,160,165,95,0,0,0,0,0,0,0,0,10,0,105,70,90,125,160,200,230,295,295,190,75,85,60,40,50,40,55,65,70,30,175,155,150,170,205,240,280,360,365,220,,
,Pakistan,240,205,205,245,265,295,295,260,240,195,25,25,25,30,25,35,25,30,10,15,0,0,0,0,0,0,0,0,5,0,260,235,230,270,290,325,315,290,250,205,25,15,10,15,15,10,10,5,5,5,285,250,240,285,305,335,325,290,260,210,,
,Brazil,60,200,250,135,105,130,140,130,110,100,30,80,55,55,95,135,130,110,115,70,0,0,0,0,0,0,0,0,5,0,90,285,300,190,200,260,270,240,230,170,295,260,310,255,275,370,170,95,50,40,380,540,610,440,470,630,440,335,275,205,,
,Germany,505,420,400,405,390,360,315,235,155,140,115,175,165,165,140,150,135,65,40,30,0,0,0,0,0,0,5,5,5,0,625,600,560,570,525,510,455,300,200,165,50,70,45,30,20,20,20,20,10,5,670,670,605,600,550,530,475,320,210,175,,
,Cambodia,75,100,110,120,150,160,190,160,120,115,30,25,25,35,45,45,50,50,45,35,0,0,0,0,0,0,0,0,0,0,95,125,130,155,195,200,240,210,165,150,25,35,25,55,65,70,40,30,20,15,120,160,160,210,255,270,275,240,185,165,,
,Oman,115,110,105,120,130,160,195,220,240,155,5,5,5,10,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,115,110,110,125,130,160,195,220,240,155,10,5,5,30,35,45,35,5,0,0,125,115,110,160,160,210,230,225,240,155,,
,Tonga,90,95,100,95,95,85,85,90,65,55,515,340,320,345,330,210,65,45,35,45,0,0,0,0,0,0,0,0,0,0,605,440,415,440,425,295,150,135,100,100,65,65,70,80,50,45,60,60,40,40,675,505,485,520,475,340,210,195,145,135,,
